Epizod,Nagroda,Maksymalna Pozycja,Kroki do Celu
0,-0.1,0.6474735736846924,998
1,-0.07040601,0.6474735736846924,1997
2,-0.1,0.6474735736846924,948
3,-0.017938768,0.6474735736846924,1947
4,-0.058896244,0.6474735736846924,898
5,-0.1,0.6474735736846924,1897
6,-0.0055065583,0.6474735736846924,848
7,-0.0017423917,0.6474735736846924,1847
8,-0.1,0.6474735736846924,798
9,99.951195,0.6474735736846924,1403
10,-0.076980524,0.6474735736846924,354
11,-0.006907484,0.6474735736846924,1353
12,99.97028,0.6474735736846924,136
13,99.910774,0.6474735736846924,828
14,-0.007713143,0.6474735736846924,1827
15,99.9,0.6474735736846924,317
16,99.98288,0.6474735736846924,1031
17,99.99882,0.6474735736846924,1950
18,99.99397,0.6474735736846924,317
19,99.922325,0.6474735736846924,804
20,-0.018088166,0.6474735736846924,1803
21,99.99224,0.6474735736846924,80
22,99.96731,0.6474735736846924,495
23,99.96565,0.6474735736846924,826
24,99.947914,0.6474735736846924,1132
25,99.99528,0.6474735736846924,1508
26,99.979904,0.6474735736846924,26
27,99.99028,0.6474735736846924,489
28,99.9,0.6474735736846924,945
29,99.9,0.6474735736846924,1272
30,99.999374,0.6474735736846924,1528
31,99.92155,0.6474735736846924,1944
32,99.9,0.6474735736846924,90
33,99.95306,0.6474735736846924,393
34,99.98525,0.6474735736846924,1013
35,99.968925,0.6474735736846924,1425
36,99.9,0.6474735736846924,1624
37,99.9,0.6474735736846924,1923
38,99.9,0.6474735736846924,164
39,99.98004,0.6474735736846924,406
40,99.96505,0.6474735736846924,945
41,99.977875,0.6474735736846924,1188
42,99.92377,0.6474735736846924,1476
43,99.9,0.6474735736846924,1737
44,99.900246,0.6474735736846924,12
45,99.9,0.6474735736846924,258
46,99.9,0.6474735736846924,554
47,99.9943,0.6474735736846924,759
48,99.916145,0.6474735736846924,932
49,99.996826,0.6474735736846924,1220
50,99.99939,0.6474735736846924,1455
51,99.99812,0.6474735736846924,1768
52,99.99925,0.6474735736846924,1939
53,99.9,0.6474735736846924,104
54,99.99383,0.6474735736846924,278
55,99.9,0.6474735736846924,573
56,99.9,0.6474735736846924,835
57,99.91542,0.6474735736846924,1072
58,99.97258,0.6474735736846924,1372
59,99.93878,0.6474735736846924,1662
60,99.9,0.6474735736846924,203
61,99.9,0.6474735736846924,488
62,99.9,0.6474735736846924,688
63,99.988846,0.6474735736846924,892
64,99.9,0.6474735736846924,1055
65,99.9,0.6474735736846924,1339
66,99.98279,0.6474735736846924,1689
67,99.97441,0.6474735736846924,2006
68,99.918106,0.6474735736846924,155
69,99.917114,0.6474735736846924,354
70,99.9,0.6474735736846924,518
71,99.9,0.6474735736846924,717
72,99.91078,0.6474735736846924,884
73,99.98898,0.6474735736846924,1058
74,99.96001,0.6474735736846924,1287
75,99.9,0.6474735736846924,1603
76,99.941345,0.6474735736846924,1853
77,99.967285,0.6474735736846924,2010
78,99.9,0.6474735736846924,222
79,99.9,0.6474735736846924,383
80,100.0,0.6474735736846924,569
81,99.9,0.6474735736846924,752
82,99.969185,0.6474735736846924,961
83,99.9,0.6474735736846924,1121
84,99.98958,0.6474735736846924,1354
85,99.9,0.6474735736846924,1527
86,99.92349,0.6474735736846924,1693
87,99.98016,0.6474735736846924,1939
88,99.9,0.6474735736846924,43
89,99.9,0.6474735736846924,166
90,99.9,0.6474735736846924,360
91,99.92025,0.6474735736846924,576
92,99.995705,0.6474735736846924,695
93,99.94826,0.6474735736846924,898
94,99.9,0.6474735736846924,1090
95,99.9,0.6474735736846924,1246
96,99.9,0.6474735736846924,1406
97,99.96883,0.6474735736846924,1563
98,99.97629,0.6474735736846924,1719
99,99.9,0.6474735736846924,1907
