algorytm,alpha,gamma,epsilon,suma_nagrod,srednia_nagroda,najlepszy_wynik,srednia_kroki,czas
Q-Learning,0.1,0.9,0.1,-58504,-58.504,-13,25.636,0.735
SARSA,0.1,0.9,0.1,-37153,-37.153,-15,27.352,0.492
Q-Learning,0.1,0.7,0.1,-61280,-61.28,-13,26.828,0.583
SARSA,0.1,0.7,0.1,-36705,-36.705,-17,28.488,0.516
Q-Learning,0.1,0.9,0.3,-194907,-194.907,-13,39.18,1.225
SARSA,0.1,0.9,0.3,-58872,-58.872,-17,33.627,0.871
Q-Learning,0.1,0.7,0.3,-191222,-191.222,-13,39.95,1.092
SARSA,0.1,0.7,0.3,-180322,-180.322,-17,154.978,3.027
Q-Learning,0.3,0.9,0.1,-54856,-54.856,-13,20.008,0.386
SARSA,0.3,0.9,0.1,-31041,-31.041,-17,23.418,0.37
Q-Learning,0.3,0.7,0.1,-53397,-53.397,-13,20.133,0.356
SARSA,0.3,0.7,0.1,-108322,-108.322,-17,101.986,1.614
Q-Learning,0.3,0.9,0.3,-177728,-177.728,-13,33.287,0.677
SARSA,0.3,0.9,0.3,-72635,-72.635,-17,47.984,1.004
Q-Learning,0.5,0.9,0.1,-54232,-54.232,-13,18.79,0.339
SARSA,0.5,0.9,0.1,-320481,-320.481,-17,310.68,5.512
Q-Learning,0.5,0.7,0.1,-54481,-54.481,-13,18.94,0.35
SARSA,0.5,0.7,0.1,-357771,-357.771,-17,348.267,5.893
Q-Learning,0.5,0.9,0.3,-154428,-154.428,-13,30.282,0.654
SARSA,0.5,0.9,0.3,-269237,-269.237,-18,217.46,5.019
Q-Learning,0.5,0.9,0.5,-318659,-318.659,-13,49.973,1.171
SARSA,0.5,0.9,0.5,-558005,-558.005,-19,325.256,7.399
